Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
248,RESPONSE,RESOLUTION,Prepare Before Following the Blood,Return to the fire briefly and prepare yourself before deciding whether to follow the trail farther.,You return to the fire briefly and prepare yourself before deciding whether to follow the trail farther.,BLOOD_TRAIL,BLOOD_FOLLOW_PREPARED,-,-
249,RESOLUTION,END,You Follow the Blood Trail Safely,Stay ready and follow through on the precautions you prepared.,"Because you prepared before following the blood, you notice the trail entering dangerous ground in time to stop. You avoid walking blindly into whatever caused the injury.",BLOOD_FOLLOW_PREPARED,-,-,DANGER_AVOIDED
250,RESOLUTION,END,The Blood Trail Leads Nowhere Dangerous,"Remain prepared for a while, then return to rest when nothing happens.","You follow the blood cautiously for a short distance, but the trail fades without revealing an immediate threat. You return to camp with no clearer answer.",BLOOD_FOLLOW_PREPARED,-,-,-
251,RESPONSE,RESOLUTION,Inspect the Broken Trail,Study the broken branches and disturbed vegetation to determine what may have passed through.,You study the broken branches and disturbed vegetation to determine what may have passed through.,TRAIL_FOUND,TRAIL_INSPECTED,-,-
252,RESOLUTION,END,The Broken Trail Shows Deliberate Passage,Examine what you found closely enough to make use of the clue.,Examining the snapped branches and crushed ground confirms that something moved deliberately through this area rather than the damage being caused by wind alone.,TRAIL_INSPECTED,-,-,-
253,RESOLUTION,END,The Broken Trail Gives No Clear Sign,"Wait a little longer, then accept that no clearer answer is coming.","You study the snapped branches and disturbed leaves, but the signs overlap too much to tell whether they were made by a person, an animal, or the storm.",TRAIL_INSPECTED,-,-,-
254,RESPONSE,RESOLUTION,Mark the Trail and Return to Camp,Memorize the direction of the trail but decide not to leave the campsite in darkness.,You memorize the direction of the trail but decide not to leave the campsite in darkness.,TRAIL_FOUND,TRAIL_MARKED,-,-
255,RESOLUTION,END,You Return Safely to Camp,"Mark the trail, then return directly to the fire.",You mark the trail but decide not to push farther into the darkness. Returning directly to the fire keeps you clear of whatever caused the disturbance.,TRAIL_MARKED,-,-,DANGER_AVOIDED
256,RESOLUTION,END,Nothing Follows the Marked Trail Back,Wait briefly at the marked trail to see whether anything follows.,"You wait beside the point where you marked the trail, but no movement returns along it. The route remains quiet and you head back to camp.",TRAIL_MARKED,-,-,-
257,RESPONSE,RESOLUTION,Observe the Hidden Figure,Remain still and watch the hidden figure without revealing yourself.,"Instead of confronting the figure immediately, you remain still and watch for another movement.",HIDDEN_PERSON,HIDDEN_PERSON_OBSERVED,-,-
258,RESOLUTION,END,The Hidden Figure Reveals Their Purpose,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the hidden figure reveals enough of their intentions to share a useful detail about nearby trade before leaving.,HIDDEN_PERSON_OBSERVED,-,-,MARKET_TIP
259,RESOLUTION,END,The Hidden Figure Slips Away,"Wait a little longer, then accept that no clearer answer is coming.","You continue watching without revealing yourself. The figure remains at the edge of sight for a moment, then quietly disappears between the trees.",HIDDEN_PERSON_OBSERVED,-,-,-
260,RESPONSE,RESOLUTION,Return to the Fire and Call Out,Step back toward the fire and tell the hidden figure to reveal themselves from a safer distance.,You step back toward the fire and tell the hidden figure to reveal themselves from a safer distance.,HIDDEN_PERSON,HIDDEN_PERSON_CALLED_OUT,-,-
261,RESOLUTION,END,The Hidden Person Backs Away,Hold your position without escalating and see whether the other side withdraws.,"Your call forces the hidden person to answer without coming closer. After a brief, tense exchange, they decide to withdraw from the area.",HIDDEN_PERSON_CALLED_OUT,-,-,DANGER_AVOIDED
262,RESOLUTION,END,The Hidden Person Turns Hostile,Keep calling out and refuse to retreat when the hidden person reacts badly.,"Your continued challenge pushes the hidden person into a confrontation. The encounter becomes physical before they finally break away, leaving you hurt.",HIDDEN_PERSON_CALLED_OUT,-,-,HP_MINOR_LOSS
263,RESPONSE,RESOLUTION,Search One More Time,Make one final careful sweep around the camp before accepting that nothing obvious is nearby.,You make one final careful sweep around the camp before accepting that nothing obvious is nearby.,NO_SOURCE_FOUND,AREA_SEARCHED_AGAIN,-,TIME_1H_LOSS
264,RESOLUTION,END,Search One More Time Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your final sweep finds a small bundle of trade goods that appears to have been dropped during the disturbance.,AREA_SEARCHED_AGAIN,-,-,RESOURCE_SMALL_GAIN
265,RESOLUTION,END,The Final Search Finds Nothing,"Wait a little longer, then accept that no clearer answer is coming.","You make one last sweep around the camp, checking the ground and tree line carefully, but find no track, object, or movement that explains the disturbance.",AREA_SEARCHED_AGAIN,-,-,-
266,RESPONSE,RESOLUTION,Guard the Cargo and Wait,Position yourself beside the supplies and wait for whatever moved near them to return.,You position yourself beside the supplies and wait for whatever moved near them to return.,CARGO_INTRUSION_POSSIBLE,CARGO_GUARD_WAIT,-,-
267,RESOLUTION,END,The Cargo Intruder Shows Themselves,Keep observing without interfering until the situation becomes clear.,Your patience pays off when a shadow returns to the supplies. The brief movement is enough to confirm that someone had been testing the edge of your camp.,CARGO_GUARD_WAIT,-,-,-
268,RESOLUTION,END,The Cargo Remains Undisturbed,"Wait a little longer, then accept that no clearer answer is coming.","You guard the supplies for several tense minutes, but nothing approaches again. Eventually the camp settles back into silence.",CARGO_GUARD_WAIT,-,-,-
269,RESPONSE,RESOLUTION,Check Where the Movement Stopped,Inspect the last place where you heard movement for tracks or anything left behind.,You inspect the last place where you heard movement for tracks or anything left behind.,SOURCE_FLED_POSSIBLE,MOVEMENT_STOP_AREA_CHECKED,-,TIME_1H_LOSS
270,RESOLUTION,END,Check Where the Movement Stopped Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,"At the place where the movement stopped, you find a small quantity of trade goods dropped in the darkness.",MOVEMENT_STOP_AREA_CHECKED,-,-,RESOURCE_SMALL_GAIN
271,RESOLUTION,END,The Last Movement Leaves No Trace,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the place where the movement stopped, but the ground is too hard and disturbed to preserve anything useful. Whatever was there left no clear trail.",MOVEMENT_STOP_AREA_CHECKED,-,-,-
272,RESPONSE,RESOLUTION,Return to Camp Instead of Chasing,Decide not to pursue an unknown person through the darkness and return to secure the camp.,You decide not to pursue an unknown person through the darkness and return to secure the camp.,PERSON_FLEEING,FLEEING_PERSON_ABANDONED,-,-
273,RESOLUTION,END,You Return Safely to Camp,Break off the pursuit and return directly to camp.,"You break off the pursuit before it draws you farther from camp. By returning to the fire, you avoid turning an uncertain chase into a more dangerous encounter.",FLEEING_PERSON_ABANDONED,-,-,DANGER_AVOIDED
274,RESOLUTION,END,The Fleeing Person Does Not Circle Back,"Stop chasing, but wait to see whether the person circles back.",You abandon the chase and listen from camp. The fleeing person's footsteps continue away and never turn back toward the fire.,FLEEING_PERSON_ABANDONED,-,-,-
275,RESPONSE,RESOLUTION,Call After the Fleeing Person,Shout after the fleeing person and demand that they stop or explain why they were near your camp.,You shout after the fleeing person and demand that they stop or explain why they were near your camp.,PERSON_FLEEING,FLEEING_PERSON_CALLED,-,-
276,RESOLUTION,END,The Fleeing Person Stops Briefly,Hold your position without escalating and see whether the other side withdraws.,"Your call makes the fleeing person stop long enough to acknowledge you. They refuse to approach, but the exchange ends without violence before they continue away.",FLEEING_PERSON_CALLED,-,-,DANGER_AVOIDED
277,RESOLUTION,END,The Fleeing Person Reacts Violently,Keep pressing the fleeing person for an answer instead of letting them go.,"You keep pressing after the fleeing person stops. Panic turns into a brief struggle before they escape into the darkness, leaving you hurt.",FLEEING_PERSON_CALLED,-,-,HP_MINOR_LOSS
278,RESPONSE,RESOLUTION,Wait for the Nearby Person to Move,"Stay silent and wait to hear whether the unseen person approaches, retreats, or reveals themselves.","You stay silent and wait to hear whether the unseen person approaches, retreats, or reveals themselves.",PERSON_NEARBY,NEARBY_PERSON_OBSERVED,-,-
279,RESOLUTION,END,The Nearby Traveller Finally Speaks,Keep observing without interfering until the situation becomes clear.,"After waiting silently, the nearby person reveals themselves and shares a useful observation about road traffic and nearby markets.",NEARBY_PERSON_OBSERVED,-,-,MARKET_TIP
280,RESOLUTION,END,The Nearby Person Quietly Withdraws,"Wait a little longer, then accept that no clearer answer is coming.","You stay silent and listen. After a while, the faint footsteps begin moving away from camp until they can no longer be heard.",NEARBY_PERSON_OBSERVED,-,-,-
281,RESPONSE,RESOLUTION,Return to the Fire and Prepare,Move back toward the fire and prepare yourself before dealing with the nearby stranger.,You move back toward the fire and prepare yourself before dealing with the nearby stranger.,PERSON_NEARBY,NEARBY_PERSON_DEFENSE_PREPARED,-,-
282,RESOLUTION,END,The Nearby Person Decides Not to Approach,Stay ready and follow through on the precautions you prepared.,Your defensive posture makes it clear that you are awake and ready. The nearby person keeps their distance and eventually withdraws from the camp.,NEARBY_PERSON_DEFENSE_PREPARED,-,-,DANGER_AVOIDED
283,RESOLUTION,END,The Nearby Person Never Tests Your Defenses,"Remain prepared for a while, then return to rest when nothing happens.","You remain ready beside the fire, but the person never comes closer. After a long silence, you hear their movement fading away.",NEARBY_PERSON_DEFENSE_PREPARED,-,-,-
284,RESPONSE,RESOLUTION,Call Out to the Group,Reveal that you are awake and tell the people outside the camp to identify themselves.,You reveal that you are awake and tell the people outside the camp to identify themselves.,MULTIPLE_PEOPLE,GROUP_CALLED_OUT,-,-
285,RESOLUTION,END,The Group Accepts Your Warning,Hold your position without escalating and see whether the other side withdraws.,"Your call makes the group halt outside the firelight. After a tense exchange, they decide that approaching the camp is not worth the risk and move on.",GROUP_CALLED_OUT,-,-,DANGER_AVOIDED
286,RESOLUTION,END,The Group Challenges Your Warning,Keep challenging the group after calling them out.,"The group answers your challenge by moving closer. The confrontation becomes violent before they finally retreat, and you are hurt in the struggle.",GROUP_CALLED_OUT,-,-,HP_MINOR_LOSS
287,RESPONSE,RESOLUTION,Return to the Fire and Stay Defensive,"Stop listening and move back to the fire, keeping your distance from the group.","You stop listening and move back to the fire, keeping your distance from the group.",MULTIPLE_PEOPLE,GROUP_DEFENSE_PREPARED,-,-
288,RESOLUTION,END,The Group Chooses Another Route,Stay ready and follow through on the precautions you prepared.,"Seeing that the camp is alert and prepared, the group decides against approaching. Their voices drift away as they continue through the night.",GROUP_DEFENSE_PREPARED,-,-,DANGER_AVOIDED
289,RESOLUTION,END,The Group Never Comes Closer,"Remain prepared for a while, then return to rest when nothing happens.","You stay prepared while the distant voices continue for a while, but the group never approaches the fire and eventually moves on.",GROUP_DEFENSE_PREPARED,-,-,-
290,RESPONSE,RESOLUTION,Inspect the Cargo Area,Carefully inspect the bags and ground around the cargo for signs of an intruder.,You carefully inspect the bags and ground around the cargo for signs of an intruder.,CARGO_INTRUSION_POSSIBLE,CARGO_AREA_INSPECTED,-,-
291,RESOLUTION,END,The Intruder Dropped Something,Examine what you found closely enough to make use of the clue.,"Your inspection of the cargo area reveals a small wrapped bundle that does not belong to your supplies, apparently dropped by whoever disturbed the cargo.",CARGO_AREA_INSPECTED,-,-,RESOURCE_SMALL_GAIN
292,RESOLUTION,END,The Cargo Area Shows No Clear Intruder,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the bags, ground, and nearby tracks carefully. Nothing proves that a person reached the supplies, and no further sign appears.",CARGO_AREA_INSPECTED,-,-,-
293,RESPONSE,RESOLUTION,Observe from a Distance,Respect the distance for now but keep watching the area to learn who issued the warning.,You respect the distance for now but keep watching the area to learn who issued the warning.,HOSTILE_WARNING,HOSTILE_SOURCE_OBSERVED,-,-
294,RESOLUTION,END,The Warning Comes from a Passing Trader,Keep observing without interfering until the situation becomes clear.,"By observing from a distance, you learn who issued the warning and overhear a useful detail about nearby trade before they leave.",HOSTILE_SOURCE_OBSERVED,-,-,MARKET_TIP
295,RESOLUTION,END,The Warning Source Leaves Unseen,"Wait a little longer, then accept that no clearer answer is coming.","You keep watching from a safe distance. The unseen person never steps into view, but after several minutes their movement fades away from the camp.",HOSTILE_SOURCE_OBSERVED,-,-,-
296,RESPONSE,RESOLUTION,Stop Calling and Observe,Stop making noise and watch the darkness to see whether the unseen presence reacts.,You stop making noise and watch the darkness to see whether the unseen presence reacts.,NO_ANSWER,NO_ANSWER_OBSERVED,-,-
297,RESOLUTION,END,A Nervous Stranger Finally Answers,Keep observing without interfering until the situation becomes clear.,"After you stop calling and simply wait, a nervous voice eventually answers from the darkness. The stranger keeps their distance, explains that they meant no harm, and leaves the area.",NO_ANSWER_OBSERVED,-,-,-
298,RESOLUTION,END,Silence Answers Instead,"Wait a little longer, then accept that no clearer answer is coming.","You stop calling and watch the darkness. Nothing moves or answers, and after several quiet minutes you return to the fire.",NO_ANSWER_OBSERVED,-,-,-
299,RESPONSE,RESOLUTION,Return to the Fire,Decide not to pursue an unseen presence that refuses to answer and move back toward the fire.,You decide not to pursue an unseen presence that refuses to answer and move back toward the fire.,NO_ANSWER,NO_ANSWER_ABANDONED,-,-
300,RESOLUTION,END,You Return Safely to Camp,Stop calling and return directly to the fire.,You stop calling into the darkness and return to the fire. Keeping your distance prevents the unseen presence from drawing you farther away from camp.,NO_ANSWER_ABANDONED,-,-,DANGER_AVOIDED
301,RESOLUTION,END,No Answer Comes After You Stop Calling,"Stop calling, but keep watch a little longer before resting.","You stop calling and remain watchful for a while. No voice answers and no one approaches, so you eventually return to rest.",NO_ANSWER_ABANDONED,-,-,-
302,RESPONSE,RESOLUTION,Demand an Explanation,Firmly demand that the stranger explain how they know your name before you allow them closer.,You firmly demand that the stranger explain how they know your name before you allow them closer.,STRANGER_KNOWS_NAME,NAME_KNOWLEDGE_DEMANDED,-,-
303,RESOLUTION,END,The Stranger Refuses to Explain and Leaves,Hold your position without escalating and see whether the other side withdraws.,"You demand to know how the stranger learned your name. They refuse to answer, but your firm stance convinces them to withdraw rather than come closer.",NAME_KNOWLEDGE_DEMANDED,-,-,DANGER_AVOIDED
304,RESOLUTION,END,The Stranger Attacks Rather Than Explain,Demand the explanation again even as the stranger becomes hostile.,"You press the stranger again for an answer. Instead of explaining, they lash out, and the encounter becomes violent before they retreat.",NAME_KNOWLEDGE_DEMANDED,-,-,HP_MINOR_LOSS
305,RESPONSE,RESOLUTION,Refuse to Engage,Refuse to answer the stranger and retreat toward the safety of the fire.,You refuse to answer the stranger and retreat toward the safety of the fire.,STRANGER_KNOWS_NAME,STRANGER_IGNORED,-,-
306,RESOLUTION,END,You Return Safely to Camp,Refuse to engage and turn back toward camp.,"You refuse to engage with the stranger and withdraw toward the fire, avoiding a confrontation whose intentions remain unclear.",STRANGER_IGNORED,-,-,DANGER_AVOIDED
307,RESOLUTION,END,The Stranger Lets You Withdraw,Keep the stranger in sight while slowly withdrawing.,"You refuse to engage and back away slowly. The stranger does not follow, allowing you to return to the safety of the fire.",STRANGER_IGNORED,-,-,-
308,RESPONSE,RESOLUTION,Observe the Stranger Before Speaking,Remain at a distance and watch the stranger's movements before deciding whether to engage.,You remain at a distance and watch the stranger's movements before deciding whether to engage.,SUSPICIOUS_STRANGER,SUSPICIOUS_STRANGER_OBSERVED,-,-
309,RESOLUTION,END,The Suspicious Stranger's Purpose Becomes Clear,Keep observing without interfering until the situation becomes clear.,Your patience reveals the stranger's purpose and gives you a useful piece of information about recent market activity.,SUSPICIOUS_STRANGER_OBSERVED,-,-,MARKET_TIP
310,RESOLUTION,END,The Suspicious Stranger Moves On,"Wait a little longer, then accept that no clearer answer is coming.","You watch the stranger without speaking. After realizing you are alert, they decide not to approach and slowly disappear back toward the road.",SUSPICIOUS_STRANGER_OBSERVED,-,-,-
311,RESPONSE,RESOLUTION,Leave the Belongings Untouched,Decide the abandoned items may be bait and leave them where they are.,You decide the abandoned items may be bait and leave them where they are.,ABANDONED_BELONGINGS,BELONGINGS_LEFT_UNTOUCHED,-,-
312,RESOLUTION,END,You Return Safely to Camp,Leave the belongings untouched and return to camp.,"You leave the abandoned belongings untouched and return to camp, avoiding the possibility that the items were bait or part of a trap.",BELONGINGS_LEFT_UNTOUCHED,-,-,DANGER_AVOIDED
313,RESOLUTION,END,No One Returns for the Belongings,"Leave the belongings untouched, but wait nearby for a moment.","You leave the belongings exactly where they are and wait nearby, but no owner or watcher appears before you decide to return to camp.",BELONGINGS_LEFT_UNTOUCHED,-,-,-
314,RESPONSE,RESOLUTION,Call for the Person to Come to You,Call for the distressed person to come closer while you remain near the fire.,"Rather than rushing into the darkness, you tell the injured or frightened person to move toward the fire if they can.",DISTRESS_CONFIRMED,DISTRESS_CALLED_CLOSER,-,-
315,RESOLUTION,END,The Distressed Traveller Reaches the Fire,Keep observing without interfering until the situation becomes clear.,"The distressed person reaches the safety of your fire. After recovering, they thank you with a few coins before continuing.",DISTRESS_CALLED_CLOSER,-,-,COINS_SMALL_GAIN
316,RESOLUTION,END,The Distressed Voice Falls Silent,"Wait a little longer, then accept that no clearer answer is coming.","You call for the person to come closer, but no one reaches the fire and the weak voice does not return. After waiting, you decide not to enter the darkness blindly.",DISTRESS_CALLED_CLOSER,-,-,-
317,RESPONSE,RESOLUTION,Prepare to Defend Yourself Before Approaching,Prepare for the possibility that the call for help is a trap before moving closer.,You prepare for the possibility that the call for help is a trap before moving closer.,DISTRESS_CONFIRMED,DISTRESS_APPROACH_PREPARED,-,-
318,RESOLUTION,END,You Approach the Distress Without Being Surprised,Stay ready and follow through on the precautions you prepared.,"Your precautions let you approach the source of the distress carefully. When the situation becomes uncertain, you have enough distance and awareness to avoid immediate danger.",DISTRESS_APPROACH_PREPARED,-,-,DANGER_AVOIDED
319,RESOLUTION,END,The Distress Leads to No Immediate Threat,"Remain prepared for a while, then return to rest when nothing happens.","You approach carefully, but nothing dangerous emerges from the darkness. With no clear person to help and no threat pursuing you, you return to camp.",DISTRESS_APPROACH_PREPARED,-,-,-
320,RESPONSE,RESOLUTION,Back Away Without Provoking Them,Keep your hands visible and slowly retreat toward the fire rather than challenge the armed stranger.,You keep your hands visible and slowly retreat toward the fire rather than challenge the armed stranger.,ARMED_STRANGER,ARMED_STRANGER_AVOIDED,-,-
321,RESOLUTION,END,You Return Safely to Camp,Back away from the armed stranger and return to camp.,"You back away from the armed stranger without provoking them and return safely to camp, avoiding a confrontation that could easily have turned violent.",ARMED_STRANGER_AVOIDED,-,-,DANGER_AVOIDED
322,RESOLUTION,END,The Armed Stranger Allows You to Leave,Keep your distance and wait to see whether the armed stranger leaves.,You back away without making a threatening move. The armed stranger keeps their distance and does not follow you toward camp.,ARMED_STRANGER_AVOIDED,-,-,-
323,RESPONSE,RESOLUTION,Observe the Armed Stranger,Hold your ground without advancing and watch for signs of hostile intent.,You hold your ground without advancing and watch for signs of hostile intent.,ARMED_STRANGER,ARMED_STRANGER_OBSERVED,-,-
324,RESOLUTION,END,The Armed Stranger Reveals Their Route,Keep observing without interfering until the situation becomes clear.,"By watching the armed stranger without advancing, you learn enough about their route to pick up a useful piece of trade information.",ARMED_STRANGER_OBSERVED,-,-,MARKET_TIP
325,RESOLUTION,END,The Armed Stranger Lowers Their Guard,"Wait a little longer, then accept that no clearer answer is coming.","You hold your position and watch. When you make no move toward them, the stranger slowly lowers their weapon and backs away from the camp.",ARMED_STRANGER_OBSERVED,-,-,-
326,RESPONSE,RESOLUTION,Warn the Group Away,Make it clear that the people watching your camp should keep their distance.,You make it clear that the people watching your camp should keep their distance.,SUSPICIOUS_GROUP,SUSPICIOUS_GROUP_WARNED,-,-
327,RESOLUTION,END,The Suspicious Group Heeds the Warning,Hold your position without escalating and see whether the other side withdraws.,"You warn the group away and hold your ground. After arguing among themselves, they decide not to test you and continue away from camp.",SUSPICIOUS_GROUP_WARNED,-,-,DANGER_AVOIDED
328,RESOLUTION,END,The Suspicious Group Pushes Forward,Stand by your warning and refuse to let the suspicious group approach.,"The group ignores your warning and tries to approach anyway. You are forced into a short confrontation before they finally withdraw, leaving you hurt.",SUSPICIOUS_GROUP_WARNED,-,-,HP_MINOR_LOSS
329,RESPONSE,RESOLUTION,Remain Hidden and Listen Longer,Stay concealed and continue listening for clues about why the group is watching the camp.,You stay concealed and continue listening for clues about why the group is watching the camp.,SUSPICIOUS_GROUP,SUSPICIOUS_GROUP_LISTENED,-,-
330,RESOLUTION,END,The Group Discusses Trade on the Road,Keep observing without interfering until the situation becomes clear.,"By listening longer, you learn that the suspicious group is discussing road conditions, shortages, and prices in a nearby settlement.",SUSPICIOUS_GROUP_LISTENED,-,-,MARKET_TIP
331,RESOLUTION,END,The Group Eventually Moves On,"Wait a little longer, then accept that no clearer answer is coming.",You remain hidden and listen until the voices begin to fade. The group decides against approaching the camp and continues along the road.,SUSPICIOUS_GROUP_LISTENED,-,-,-
332,RESPONSE,RESOLUTION,Inspect the Lantern,Examine the lantern for signs of who carried it and how recently it was used.,You examine the lantern for signs of who carried it and how recently it was used.,LANTERN_FOUND,LANTERN_INSPECTED,-,-
333,RESOLUTION,END,Inspect the Lantern Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,"Examining the lantern reveals markings and traces that point to recent merchant movement, giving you a useful market clue.",LANTERN_INSPECTED,-,-,MARKET_TIP
334,RESOLUTION,END,The Lantern Reveals Nothing More,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the lantern closely, but find no mark, crest, or personal detail that identifies its owner. The trail around it is too disturbed to follow.",LANTERN_INSPECTED,-,-,-
335,RESPONSE,RESOLUTION,Leave the Lantern and Return to Camp,Decide not to follow an unknown person farther into the darkness and return to your fire.,You decide not to follow an unknown person farther into the darkness and return to your fire.,LANTERN_FOUND,LANTERN_ABANDONED,-,-
336,RESOLUTION,END,You Return Safely to Camp,Leave the lantern where it is and return to camp.,You decide not to follow the unknown lantern trail any farther and return to camp before the darkness can draw you into unnecessary danger.,LANTERN_ABANDONED,-,-,DANGER_AVOIDED
337,RESOLUTION,END,No One Returns for the Lantern,"Leave the lantern untouched, but watch the area briefly before returning.","You leave the lantern untouched and watch the area from a distance. No one comes back to claim it, and the surrounding darkness remains still.",LANTERN_ABANDONED,-,-,-
338,RESPONSE,RESOLUTION,Signal Again Before Approaching,Answer with another deliberate torch signal and wait for a clearer response.,You answer with another deliberate torch signal and wait for a clearer response.,LIGHT_SIGNAL_RETURNED,SIGNAL_REPEATED,-,-
339,RESOLUTION,END,The Second Signal Is Answered,Keep observing without interfering until the situation becomes clear.,"Your repeated signal receives one final deliberate flash from farther down the road. Whoever is carrying the light appears to understand you are there, but does not approach.",SIGNAL_REPEATED,-,-,-
340,RESOLUTION,END,No Second Answer Comes,"Wait a little longer, then accept that no clearer answer is coming.","You signal again and wait, but the distant darkness remains still. No light answers this time.",SIGNAL_REPEATED,-,-,-
341,RESPONSE,RESOLUTION,Stay at Camp and Watch the Signal,Decide not to follow immediately and instead observe whether the distant light moves closer.,You decide not to follow immediately and instead observe whether the distant light moves closer.,LIGHT_SIGNAL_RETURNED,SIGNAL_OBSERVED_FROM_CAMP,-,-
342,RESOLUTION,END,The Signal Belongs to a Travelling Trader,Keep observing without interfering until the situation becomes clear.,"Watching the signal from camp eventually reveals a travelling trader, who shares a useful market detail before moving on.",SIGNAL_OBSERVED_FROM_CAMP,-,-,MARKET_TIP
343,RESOLUTION,END,The Signal Fades Without Approaching,"Wait a little longer, then accept that no clearer answer is coming.",You stay at camp and watch the distant light. It never moves closer and eventually disappears behind the trees.,SIGNAL_OBSERVED_FROM_CAMP,-,-,-
344,RESPONSE,RESOLUTION,Inspect What Was Taken,Examine the cut bag and compare its contents with what you remember packing.,You examine the cut bag and compare its contents with what you remember packing.,CARGO_DAMAGED,CARGO_DAMAGE_INSPECTED,-,-
345,RESOLUTION,END,Something Was Dropped During the Intrusion,Examine what you found closely enough to make use of the clue.,"Near the damaged bag, you find a small unfamiliar bundle dropped by the intruder during the disturbance, separate from the goods you were carrying.",CARGO_DAMAGE_INSPECTED,-,-,RESOURCE_SMALL_GAIN
346,RESOLUTION,END,The Damage Gives No Useful Clue,"Wait a little longer, then accept that no clearer answer is coming.","You examine the cut bag and surrounding ground, but cannot tell what the intruder handled or whether anything else was taken.",CARGO_DAMAGE_INSPECTED,-,-,-
347,RESPONSE,RESOLUTION,Secure What Remains,Stop searching temporarily and secure the remaining cargo before anything else can disappear.,You stop searching temporarily and secure the remaining cargo before anything else can disappear.,CARGO_MISSING,REMAINING_CARGO_SECURED,-,-
348,RESOLUTION,END,The Remaining Cargo Is Protected,Stay ready and follow through on the precautions you prepared.,Securing the remaining cargo leaves no easy opening for another loss. Whatever disturbed the supplies does not manage to take anything else.,REMAINING_CARGO_SECURED,-,-,DANGER_AVOIDED
349,RESOLUTION,END,Nothing Else Reaches the Secured Cargo,"Remain prepared for a while, then return to rest when nothing happens.","You keep the remaining goods tightly secured, but no second attempt comes. The rest of the cargo stays undisturbed until you return to rest.",REMAINING_CARGO_SECURED,-,-,-
350,RESPONSE,RESOLUTION,Look for Tracks Around the Cargo,Inspect the ground around the missing goods for footprints or drag marks.,You inspect the ground around the missing goods for footprints or drag marks.,CARGO_MISSING,CARGO_TRACKS_SEARCHED,-,TIME_1H_LOSS
351,RESOLUTION,END,The Tracks Lead to a Dropped Bundle,Examine what you found closely enough to make use of the clue.,The tracks around the missing cargo lead a short distance from camp to a small dropped bundle containing goods that were not part of your own supplies.,CARGO_TRACKS_SEARCHED,-,-,RESOURCE_SMALL_GAIN
352,RESOLUTION,END,The Cargo Tracks Fade Quickly,"Wait a little longer, then accept that no clearer answer is coming.","You follow the marks around the missing goods for a short distance, but they disappear on harder ground before revealing where the intruder went.",CARGO_TRACKS_SEARCHED,-,-,-
353,RESPONSE,RESOLUTION,Return to Rest,Return to the bedroll and try to resume resting now that no threat is visible.,"With no sign of an intruder, you secure the loose equipment and prepare to rest again.",NO_THREAT_FOUND,NO_THREAT_REST_RESUMED,-,-
354,RESOLUTION,END,You Return Safely to Camp,Return to rest now that no threat is visible.,"With no visible threat remaining, you secure the loose equipment and return to rest rather than risk searching farther into the darkness.",NO_THREAT_REST_RESUMED,-,-,DANGER_AVOIDED
355,RESOLUTION,END,The Camp Stays Quiet After You Return to Rest,Keep watch a little longer before deciding the danger has passed.,You keep watch a little longer after returning to camp. Nothing approaches and no further sign of danger appears.,NO_THREAT_REST_RESUMED,-,-,-
356,RESPONSE,RESOLUTION,Protect the Embers and Wait,Shield the remaining heat and wait for the wind to weaken before rebuilding the fire.,You shield the remaining heat and wait for the wind to weaken before rebuilding the fire.,EMBERS_USABLE,EMBERS_PROTECTED,-,-
357,RESOLUTION,END,The Embers Survive the Wind,Keep observing without interfering until the situation becomes clear.,"You shield the last heat and wait. When the wind finally weakens, a steady red glow remains beneath the ash, enough to keep the fire alive.",EMBERS_PROTECTED,-,-,-
358,RESOLUTION,END,The Embers Fade Away,"Wait a little longer, then accept that no clearer answer is coming.","You protect the fire as long as you can, but the remaining heat slowly disappears. By the time the wind eases, the fire is completely cold.",EMBERS_PROTECTED,-,-,-
359,RESPONSE,RESOLUTION,Use the Embers Only for Light,Decide not to rebuild a full fire and keep only enough flame to maintain visibility.,You decide not to rebuild a full fire and keep only enough flame to maintain visibility.,EMBERS_USABLE,EMBERS_USED_FOR_LIGHT,-,-
360,RESOLUTION,END,The Embers Last for Light,Trust the repair and wait through the remaining danger.,You keep only a small flame alive. It gives you enough light to see the edge of camp without using the fuel needed for a full fire.,EMBERS_USED_FOR_LIGHT,-,-,-
361,RESOLUTION,END,The Last Light Dies Early,Rely on the temporary fix and avoid disturbing it further.,"The remaining embers provide light for a while, but they fade sooner than you hoped and leave the camp dark again.",EMBERS_USED_FOR_LIGHT,-,-,-
362,RESPONSE,RESOLUTION,Search for Dry Kindling,"Search beneath the cart, shelter, and nearby cover for anything dry enough to burn.","You search beneath the cart, shelter, and nearby cover for anything dry enough to burn.",FIREWOOD_WET,DRY_KINDLING_SEARCHED,-,TIME_1H_LOSS
