Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
261,RESOLUTION,END,The Source Backs Down,Hold your position without escalating and see whether the other side withdraws.,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,HIDDEN_PERSON_CALLED_OUT,-,-,-
262,RESOLUTION,END,The Confrontation Escalates,Keep calling out and refuse to retreat when the hidden person reacts badly.,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,HIDDEN_PERSON_CALLED_OUT,-,-,HP_MINOR_LOSS
263,RESPONSE,RESOLUTION,Search One More Time,Make one final careful sweep around the camp before accepting that nothing obvious is nearby.,You make one final careful sweep around the camp before accepting that nothing obvious is nearby.,NO_SOURCE_FOUND,AREA_SEARCHED_AGAIN,-,-
264,RESOLUTION,END,Search One More Time Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,AREA_SEARCHED_AGAIN,-,-,-
265,RESOLUTION,END,Search One More Time Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",AREA_SEARCHED_AGAIN,-,-,-
266,RESPONSE,RESOLUTION,Guard the Cargo and Wait,Position yourself beside the supplies and wait for whatever moved near them to return.,You position yourself beside the supplies and wait for whatever moved near them to return.,CARGO_INTRUSION_POSSIBLE,CARGO_GUARD_WAIT,-,-
267,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,CARGO_GUARD_WAIT,-,-,-
268,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",CARGO_GUARD_WAIT,-,-,-
269,RESPONSE,RESOLUTION,Check Where the Movement Stopped,Inspect the last place where you heard movement for tracks or anything left behind.,You inspect the last place where you heard movement for tracks or anything left behind.,SOURCE_FLED_POSSIBLE,MOVEMENT_STOP_AREA_CHECKED,-,-
270,RESOLUTION,END,Check Where the Movement Stopped Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,MOVEMENT_STOP_AREA_CHECKED,-,-,-
271,RESOLUTION,END,Check Where the Movement Stopped Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",MOVEMENT_STOP_AREA_CHECKED,-,-,-
272,RESPONSE,RESOLUTION,Return to Camp Instead of Chasing,Decide not to pursue an unknown person through the darkness and return to secure the camp.,You decide not to pursue an unknown person through the darkness and return to secure the camp.,PERSON_FLEEING,FLEEING_PERSON_ABANDONED,-,-
273,RESOLUTION,END,You Return Safely to Camp,Break off the pursuit and return directly to camp.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,FLEEING_PERSON_ABANDONED,-,-,-
274,RESOLUTION,END,The Disturbance Follows No Further,"Stop chasing, but wait to see whether the person circles back.","Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",FLEEING_PERSON_ABANDONED,-,-,-
275,RESPONSE,RESOLUTION,Call After the Fleeing Person,Shout after the fleeing person and demand that they stop or explain why they were near your camp.,You shout after the fleeing person and demand that they stop or explain why they were near your camp.,PERSON_FLEEING,FLEEING_PERSON_CALLED,-,-
276,RESOLUTION,END,The Source Backs Down,Hold your position without escalating and see whether the other side withdraws.,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,FLEEING_PERSON_CALLED,-,-,-
277,RESOLUTION,END,The Confrontation Escalates,Keep pressing the fleeing person for an answer instead of letting them go.,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,FLEEING_PERSON_CALLED,-,-,HP_MINOR_LOSS
278,RESPONSE,RESOLUTION,Wait for the Nearby Person to Move,"Stay silent and wait to hear whether the unseen person approaches, retreats, or reveals themselves.","You stay silent and wait to hear whether the unseen person approaches, retreats, or reveals themselves.",PERSON_NEARBY,NEARBY_PERSON_OBSERVED,-,-
279,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,NEARBY_PERSON_OBSERVED,-,-,-
280,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",NEARBY_PERSON_OBSERVED,-,-,-
281,RESPONSE,RESOLUTION,Return to the Fire and Prepare,Move back toward the fire and prepare yourself before dealing with the nearby stranger.,You move back toward the fire and prepare yourself before dealing with the nearby stranger.,PERSON_NEARBY,NEARBY_PERSON_DEFENSE_PREPARED,-,-
282,RESOLUTION,END,Your Preparation Pays Off,Stay ready and follow through on the precautions you prepared.,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",NEARBY_PERSON_DEFENSE_PREPARED,-,-,-
283,RESOLUTION,END,The Threat Never Develops,"Remain prepared for a while, then return to rest when nothing happens.","You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",NEARBY_PERSON_DEFENSE_PREPARED,-,-,-
284,RESPONSE,RESOLUTION,Call Out to the Group,Reveal that you are awake and tell the people outside the camp to identify themselves.,You reveal that you are awake and tell the people outside the camp to identify themselves.,MULTIPLE_PEOPLE,GROUP_CALLED_OUT,-,-
285,RESOLUTION,END,The Source Backs Down,Hold your position without escalating and see whether the other side withdraws.,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,GROUP_CALLED_OUT,-,-,-
286,RESOLUTION,END,The Confrontation Escalates,Keep challenging the group after calling them out.,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,GROUP_CALLED_OUT,-,-,HP_MINOR_LOSS
287,RESPONSE,RESOLUTION,Return to the Fire and Stay Defensive,"Stop listening and move back to the fire, keeping your distance from the group.","You stop listening and move back to the fire, keeping your distance from the group.",MULTIPLE_PEOPLE,GROUP_DEFENSE_PREPARED,-,-
288,RESOLUTION,END,Your Preparation Pays Off,Stay ready and follow through on the precautions you prepared.,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",GROUP_DEFENSE_PREPARED,-,-,-
289,RESOLUTION,END,The Threat Never Develops,"Remain prepared for a while, then return to rest when nothing happens.","You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",GROUP_DEFENSE_PREPARED,-,-,-
290,RESPONSE,RESOLUTION,Inspect the Cargo Area,Carefully inspect the bags and ground around the cargo for signs of an intruder.,You carefully inspect the bags and ground around the cargo for signs of an intruder.,CARGO_INTRUSION_POSSIBLE,CARGO_AREA_INSPECTED,-,-
291,RESOLUTION,END,Inspect the Cargo Area Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,CARGO_AREA_INSPECTED,-,-,-
292,RESOLUTION,END,Inspect the Cargo Area Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",CARGO_AREA_INSPECTED,-,-,-
293,RESPONSE,RESOLUTION,Observe from a Distance,Respect the distance for now but keep watching the area to learn who issued the warning.,You respect the distance for now but keep watching the area to learn who issued the warning.,HOSTILE_WARNING,HOSTILE_SOURCE_OBSERVED,-,-
294,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,HOSTILE_SOURCE_OBSERVED,-,-,-
295,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",HOSTILE_SOURCE_OBSERVED,-,-,-
296,RESPONSE,RESOLUTION,Stop Calling and Observe,Stop making noise and watch the darkness to see whether the unseen presence reacts.,You stop making noise and watch the darkness to see whether the unseen presence reacts.,NO_ANSWER,NO_ANSWER_OBSERVED,-,-
297,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,NO_ANSWER_OBSERVED,-,-,-
298,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",NO_ANSWER_OBSERVED,-,-,-
299,RESPONSE,RESOLUTION,Return to the Fire,Decide not to pursue an unseen presence that refuses to answer and move back toward the fire.,You decide not to pursue an unseen presence that refuses to answer and move back toward the fire.,NO_ANSWER,NO_ANSWER_ABANDONED,-,-
300,RESOLUTION,END,You Return Safely to Camp,Stop calling and return directly to the fire.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,NO_ANSWER_ABANDONED,-,-,-
301,RESOLUTION,END,The Disturbance Follows No Further,"Stop calling, but keep watch a little longer before resting.","Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",NO_ANSWER_ABANDONED,-,-,-
302,RESPONSE,RESOLUTION,Demand an Explanation,Firmly demand that the stranger explain how they know your name before you allow them closer.,You firmly demand that the stranger explain how they know your name before you allow them closer.,STRANGER_KNOWS_NAME,NAME_KNOWLEDGE_DEMANDED,-,-
303,RESOLUTION,END,The Source Backs Down,Hold your position without escalating and see whether the other side withdraws.,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,NAME_KNOWLEDGE_DEMANDED,-,-,-
304,RESOLUTION,END,The Confrontation Escalates,Demand the explanation again even as the stranger becomes hostile.,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,NAME_KNOWLEDGE_DEMANDED,-,-,HP_MINOR_LOSS
305,RESPONSE,RESOLUTION,Refuse to Engage,Refuse to answer the stranger and retreat toward the safety of the fire.,You refuse to answer the stranger and retreat toward the safety of the fire.,STRANGER_KNOWS_NAME,STRANGER_IGNORED,-,-
306,RESOLUTION,END,You Return Safely to Camp,Refuse to engage and turn back toward camp.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,STRANGER_IGNORED,-,-,-
307,RESOLUTION,END,The Disturbance Follows No Further,Keep the stranger in sight while slowly withdrawing.,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",STRANGER_IGNORED,-,-,-
308,RESPONSE,RESOLUTION,Observe the Stranger Before Speaking,Remain at a distance and watch the stranger's movements before deciding whether to engage.,You remain at a distance and watch the stranger's movements before deciding whether to engage.,SUSPICIOUS_STRANGER,SUSPICIOUS_STRANGER_OBSERVED,-,-
309,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,SUSPICIOUS_STRANGER_OBSERVED,-,-,-
310,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",SUSPICIOUS_STRANGER_OBSERVED,-,-,-
311,RESPONSE,RESOLUTION,Leave the Belongings Untouched,Decide the abandoned items may be bait and leave them where they are.,You decide the abandoned items may be bait and leave them where they are.,ABANDONED_BELONGINGS,BELONGINGS_LEFT_UNTOUCHED,-,-
312,RESOLUTION,END,You Return Safely to Camp,Leave the belongings untouched and return to camp.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,BELONGINGS_LEFT_UNTOUCHED,-,-,-
313,RESOLUTION,END,The Disturbance Follows No Further,"Leave the belongings untouched, but wait nearby for a moment.","Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",BELONGINGS_LEFT_UNTOUCHED,-,-,-
314,RESPONSE,RESOLUTION,Call for the Person to Come to You,Call for the distressed person to come closer while you remain near the fire.,"Rather than rushing into the darkness, you tell the injured or frightened person to move toward the fire if they can.",DISTRESS_CONFIRMED,DISTRESS_CALLED_CLOSER,-,-
315,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,DISTRESS_CALLED_CLOSER,-,-,-
316,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",DISTRESS_CALLED_CLOSER,-,-,-
317,RESPONSE,RESOLUTION,Prepare to Defend Yourself Before Approaching,Prepare for the possibility that the call for help is a trap before moving closer.,You prepare for the possibility that the call for help is a trap before moving closer.,DISTRESS_CONFIRMED,DISTRESS_APPROACH_PREPARED,-,-
318,RESOLUTION,END,Your Preparation Pays Off,Stay ready and follow through on the precautions you prepared.,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",DISTRESS_APPROACH_PREPARED,-,-,-
319,RESOLUTION,END,The Threat Never Develops,"Remain prepared for a while, then return to rest when nothing happens.","You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",DISTRESS_APPROACH_PREPARED,-,-,-
320,RESPONSE,RESOLUTION,Back Away Without Provoking Them,Keep your hands visible and slowly retreat toward the fire rather than challenge the armed stranger.,You keep your hands visible and slowly retreat toward the fire rather than challenge the armed stranger.,ARMED_STRANGER,ARMED_STRANGER_AVOIDED,-,-
321,RESOLUTION,END,You Return Safely to Camp,Back away from the armed stranger and return to camp.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,ARMED_STRANGER_AVOIDED,-,-,-
322,RESOLUTION,END,The Disturbance Follows No Further,Keep your distance and wait to see whether the armed stranger leaves.,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",ARMED_STRANGER_AVOIDED,-,-,-
323,RESPONSE,RESOLUTION,Observe the Armed Stranger,Hold your ground without advancing and watch for signs of hostile intent.,You hold your ground without advancing and watch for signs of hostile intent.,ARMED_STRANGER,ARMED_STRANGER_OBSERVED,-,-
324,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,ARMED_STRANGER_OBSERVED,-,-,-
325,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",ARMED_STRANGER_OBSERVED,-,-,-
326,RESPONSE,RESOLUTION,Warn the Group Away,Make it clear that the people watching your camp should keep their distance.,You make it clear that the people watching your camp should keep their distance.,SUSPICIOUS_GROUP,SUSPICIOUS_GROUP_WARNED,-,-
327,RESOLUTION,END,The Source Backs Down,Hold your position without escalating and see whether the other side withdraws.,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,SUSPICIOUS_GROUP_WARNED,-,-,-
328,RESOLUTION,END,The Confrontation Escalates,Stand by your warning and refuse to let the suspicious group approach.,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,SUSPICIOUS_GROUP_WARNED,-,-,HP_MINOR_LOSS
329,RESPONSE,RESOLUTION,Remain Hidden and Listen Longer,Stay concealed and continue listening for clues about why the group is watching the camp.,You stay concealed and continue listening for clues about why the group is watching the camp.,SUSPICIOUS_GROUP,SUSPICIOUS_GROUP_LISTENED,-,-
330,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,SUSPICIOUS_GROUP_LISTENED,-,-,-
331,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",SUSPICIOUS_GROUP_LISTENED,-,-,-
332,RESPONSE,RESOLUTION,Inspect the Lantern,Examine the lantern for signs of who carried it and how recently it was used.,You examine the lantern for signs of who carried it and how recently it was used.,LANTERN_FOUND,LANTERN_INSPECTED,-,-
333,RESOLUTION,END,Inspect the Lantern Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,LANTERN_INSPECTED,-,-,-
334,RESOLUTION,END,Inspect the Lantern Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",LANTERN_INSPECTED,-,-,-
335,RESPONSE,RESOLUTION,Leave the Lantern and Return to Camp,Decide not to follow an unknown person farther into the darkness and return to your fire.,You decide not to follow an unknown person farther into the darkness and return to your fire.,LANTERN_FOUND,LANTERN_ABANDONED,-,-
336,RESOLUTION,END,You Return Safely to Camp,Leave the lantern where it is and return to camp.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,LANTERN_ABANDONED,-,-,-
337,RESOLUTION,END,The Disturbance Follows No Further,"Leave the lantern untouched, but watch the area briefly before returning.","Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",LANTERN_ABANDONED,-,-,-
338,RESPONSE,RESOLUTION,Signal Again Before Approaching,Answer with another deliberate torch signal and wait for a clearer response.,You answer with another deliberate torch signal and wait for a clearer response.,LIGHT_SIGNAL_RETURNED,SIGNAL_REPEATED,-,-
339,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,SIGNAL_REPEATED,-,-,-
340,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",SIGNAL_REPEATED,-,-,-
341,RESPONSE,RESOLUTION,Stay at Camp and Watch the Signal,Decide not to follow immediately and instead observe whether the distant light moves closer.,You decide not to follow immediately and instead observe whether the distant light moves closer.,LIGHT_SIGNAL_RETURNED,SIGNAL_OBSERVED_FROM_CAMP,-,-
342,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,SIGNAL_OBSERVED_FROM_CAMP,-,-,-
343,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",SIGNAL_OBSERVED_FROM_CAMP,-,-,-
344,RESPONSE,RESOLUTION,Inspect What Was Taken,Examine the cut bag and compare its contents with what you remember packing.,You examine the cut bag and compare its contents with what you remember packing.,CARGO_DAMAGED,CARGO_DAMAGE_INSPECTED,-,-
345,RESOLUTION,END,Inspect What Was Taken Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,CARGO_DAMAGE_INSPECTED,-,-,-
346,RESOLUTION,END,Inspect What Was Taken Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",CARGO_DAMAGE_INSPECTED,-,-,-
347,RESPONSE,RESOLUTION,Secure What Remains,Stop searching temporarily and secure the remaining cargo before anything else can disappear.,You stop searching temporarily and secure the remaining cargo before anything else can disappear.,CARGO_MISSING,REMAINING_CARGO_SECURED,-,-
348,RESOLUTION,END,Your Preparation Pays Off,Stay ready and follow through on the precautions you prepared.,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",REMAINING_CARGO_SECURED,-,-,-
349,RESOLUTION,END,The Threat Never Develops,"Remain prepared for a while, then return to rest when nothing happens.","You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",REMAINING_CARGO_SECURED,-,-,-
350,RESPONSE,RESOLUTION,Look for Tracks Around the Cargo,Inspect the ground around the missing goods for footprints or drag marks.,You inspect the ground around the missing goods for footprints or drag marks.,CARGO_MISSING,CARGO_TRACKS_SEARCHED,-,-
351,RESOLUTION,END,Look for Tracks Around the Cargo Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,CARGO_TRACKS_SEARCHED,-,-,-
352,RESOLUTION,END,Look for Tracks Around the Cargo Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",CARGO_TRACKS_SEARCHED,-,-,-
353,RESPONSE,RESOLUTION,Return to Rest,Return to the bedroll and try to resume resting now that no threat is visible.,"With no sign of an intruder, you secure the loose equipment and prepare to rest again.",NO_THREAT_FOUND,NO_THREAT_REST_RESUMED,-,-
354,RESOLUTION,END,You Return Safely to Camp,Return to rest now that no threat is visible.,You avoid pushing the situation farther and return safely to the fire without another disturbance.,NO_THREAT_REST_RESUMED,-,-,-
355,RESOLUTION,END,The Disturbance Follows No Further,Keep watch a little longer before deciding the danger has passed.,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",NO_THREAT_REST_RESUMED,-,-,-
356,RESPONSE,RESOLUTION,Protect the Embers and Wait,Shield the remaining heat and wait for the wind to weaken before rebuilding the fire.,You shield the remaining heat and wait for the wind to weaken before rebuilding the fire.,EMBERS_USABLE,EMBERS_PROTECTED,-,-
357,RESOLUTION,END,The Situation Reveals Itself,Keep observing without interfering until the situation becomes clear.,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,EMBERS_PROTECTED,-,-,-
358,RESOLUTION,END,Nothing Else Happens,"Wait a little longer, then accept that no clearer answer is coming.","You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",EMBERS_PROTECTED,-,-,-
359,RESPONSE,RESOLUTION,Use the Embers Only for Light,Decide not to rebuild a full fire and keep only enough flame to maintain visibility.,You decide not to rebuild a full fire and keep only enough flame to maintain visibility.,EMBERS_USABLE,EMBERS_USED_FOR_LIGHT,-,-
360,RESOLUTION,END,The Repair Holds,Trust the repair and wait through the remaining danger.,Your quick work stabilizes the problem and prevents it from becoming worse during the rest of the night.,EMBERS_USED_FOR_LIGHT,-,-,-
361,RESOLUTION,END,The Repair Is Only Temporary,Rely on the temporary fix and avoid disturbing it further.,"You stop the immediate problem, but the damage remains something that will need proper attention later.",EMBERS_USED_FOR_LIGHT,-,-,-
362,RESPONSE,RESOLUTION,Search for Dry Kindling,"Search beneath the cart, shelter, and nearby cover for anything dry enough to burn.","You search beneath the cart, shelter, and nearby cover for anything dry enough to burn.",FIREWOOD_WET,DRY_KINDLING_SEARCHED,-,-
363,RESOLUTION,END,Search for Dry Kindling Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,DRY_KINDLING_SEARCHED,-,-,-
364,RESOLUTION,END,Search for Dry Kindling Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",DRY_KINDLING_SEARCHED,-,-,-
365,RESPONSE,RESOLUTION,Reinforce the Shelter Instead of Replacing the Rope,Brace the damaged section with available materials rather than relying on the broken rope.,You brace the damaged section with available materials rather than relying on the broken rope.,SHELTER_DAMAGED,SHELTER_REINFORCED,-,-
366,RESOLUTION,END,The Repair Holds,Trust the repair and wait through the remaining danger.,Your quick work stabilizes the problem and prevents it from becoming worse during the rest of the night.,SHELTER_REINFORCED,-,-,-
367,RESOLUTION,END,The Repair Is Only Temporary,Rely on the temporary fix and avoid disturbing it further.,"You stop the immediate problem, but the damage remains something that will need proper attention later.",SHELTER_REINFORCED,-,-,-
368,RESPONSE,RESOLUTION,Move the Most Valuable Goods Under Shelter,Prioritize the most valuable cargo and move it into the driest part of the camp.,You prioritize the most valuable cargo and move it into the driest part of the camp.,CARGO_WET_RISK,VALUABLE_CARGO_MOVED,-,-
369,RESOLUTION,END,The Repair Holds,Trust the repair and wait through the remaining danger.,Your quick work stabilizes the problem and prevents it from becoming worse during the rest of the night.,VALUABLE_CARGO_MOVED,-,-,-
370,RESOLUTION,END,The Repair Is Only Temporary,Rely on the temporary fix and avoid disturbing it further.,"You stop the immediate problem, but the damage remains something that will need proper attention later.",VALUABLE_CARGO_MOVED,-,-,-
371,RESPONSE,RESOLUTION,Inspect the Shelter One More Time,Check the reinforced shelter carefully before trusting it for the rest of the storm.,You check the reinforced shelter carefully before trusting it for the rest of the storm.,SHELTER_STABLE,SHELTER_RECHECKED,-,-
372,RESOLUTION,END,Inspect the Shelter One More Time Reveals a Useful Clue,Examine what you found closely enough to make use of the clue.,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,SHELTER_RECHECKED,-,-,-
373,RESOLUTION,END,Inspect the Shelter One More Time Remains Inconclusive,"Wait a little longer, then accept that no clearer answer is coming.","You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",SHELTER_RECHECKED,-,-,-
374,RESOLUTION,END,The Person Reacts Unexpectedly,Give the person a moment to respond to your decision.,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",TRAVELLER_INVITED,-,-,-
375,RESOLUTION,END,The Person Reacts Unexpectedly 2,Give the person a moment to respond to your decision.,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",TRAVELLER_SENT_AWAY,-,-,-
376,RESOLUTION,END,The Person Reacts Unexpectedly 3,Give the person a moment to respond to your decision.,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",MERCHANT_DIRECTED,-,-,-
377,RESOLUTION,END,The Person Reacts Unexpectedly 4,Give the person a moment to respond to your decision.,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",STRANGER_WARNED,-,-,-
378,RESOLUTION,END,The Person Reacts Unexpectedly 5,Give the person a moment to respond to your decision.,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",STRANGERS_OBSERVED,-,-,-
379,RESOLUTION,END,Alternative Outcome: Search the Abandoned Belongings,Follow through with your decision to search the Abandoned Belongings.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",BELONGINGS_SEARCHED,-,-,-
380,RESOLUTION,END,The Person Reacts Unexpectedly 6,Give the person a moment to respond to your decision.,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",NAME_MYSTERY_CHALLENGED,-,-,-
381,RESOLUTION,END,Alternative Outcome: Follow the Returned Light Signal,Follow through with your decision to follow the Returned Light Signal.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",LIGHT_SIGNAL_FOLLOWED,-,-,-
382,RESOLUTION,END,Alternative Outcome: Search Beyond the Extinguished Lantern,Follow through with your decision to search Beyond the Extinguished Lantern.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",LANTERN_TRAIL_SEARCHED,-,-,-
383,RESOLUTION,END,Alternative Outcome: Follow Where the Light Vanished,Follow through with your decision to follow Where the Light Vanished.,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",VANISHED_LIGHT_FOLLOWED,-,-,-
384,RESOLUTION,END,The Thief Gets Away,Continue the attempt a little longer before deciding whether to stop.,"Despite your response, the thief finds an opening and escapes into the darkness before the encounter can develop further.",THIEF_ALLOWED_ESCAPE,-,-,CARGO_SMALL_LOSS
385,RESOLUTION,END,Some Cargo Still Needs Attention,Secure what you can and accept that some cargo remains exposed.,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_REPAIRED,-,-,CARGO_SMALL_LOSS
386,RESOLUTION,END,Some Cargo Still Needs Attention 2,Secure what you can and accept that some cargo remains exposed.,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_FULLY_SECURED,-,-,CARGO_SMALL_LOSS
387,RESOLUTION,END,Some Cargo Still Needs Attention 3,Secure what you can and accept that some cargo remains exposed.,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_WATCHER_CONFRONTED,-,-,CARGO_SMALL_LOSS
388,RESOLUTION,END,The Animal Reacts Unexpectedly,Hold your position and watch how the animal responds.,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_OBSERVED,-,-,-
