Situation Number,Phase,NextPhase,Situation Name,Situation Description,Required Context,Given Context,Removed Context
324,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_323,EVENT_RESOLVED,-
325,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_323,EVENT_RESOLVED,-
326,RESPONSE,RESOLUTION,Warn the Group Away,You make it clear that the people watching your camp should keep their distance.,SUSPICIOUS_GROUP,VAR_OUTCOME_326,-
327,RESOLUTION,END,The Source Backs Down,Your direct approach forces the other party to reveal enough of their intentions before withdrawing from the area.,VAR_OUTCOME_326,EVENT_RESOLVED,-
328,RESOLUTION,END,The Confrontation Escalates,The situation becomes tense and dangerous before the other party finally retreats and the encounter ends.,VAR_OUTCOME_326,EVENT_RESOLVED,-
329,RESPONSE,RESOLUTION,Remain Hidden and Listen Longer,You stay concealed and continue listening for clues about why the group is watching the camp.,SUSPICIOUS_GROUP,VAR_OUTCOME_329,-
330,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_329,EVENT_RESOLVED,-
331,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_329,EVENT_RESOLVED,-
332,RESPONSE,RESOLUTION,Inspect the Lantern,You examine the lantern for signs of who carried it and how recently it was used.,LANTERN_FOUND,VAR_OUTCOME_332,-
333,RESOLUTION,END,Inspect the Lantern Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_332,EVENT_RESOLVED,-
334,RESOLUTION,END,Inspect the Lantern Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_332,EVENT_RESOLVED,-
335,RESPONSE,RESOLUTION,Leave the Lantern and Return to Camp,You decide not to follow an unknown person farther into the darkness and return to your fire.,LANTERN_FOUND,VAR_OUTCOME_335,-
336,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_335,EVENT_RESOLVED,-
337,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_335,EVENT_RESOLVED,-
338,RESPONSE,RESOLUTION,Signal Again Before Approaching,You answer with another deliberate torch signal and wait for a clearer response.,LIGHT_SIGNAL_RETURNED,VAR_OUTCOME_338,-
339,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_338,EVENT_RESOLVED,-
340,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_338,EVENT_RESOLVED,-
341,RESPONSE,RESOLUTION,Stay at Camp and Watch the Signal,You decide not to follow immediately and instead observe whether the distant light moves closer.,LIGHT_SIGNAL_RETURNED,VAR_OUTCOME_341,-
342,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_341,EVENT_RESOLVED,-
343,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_341,EVENT_RESOLVED,-
344,RESPONSE,RESOLUTION,Inspect What Was Taken,You examine the cut bag and compare its contents with what you remember packing.,CARGO_DAMAGED,VAR_OUTCOME_344,-
345,RESOLUTION,END,Inspect What Was Taken Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_344,EVENT_RESOLVED,-
346,RESOLUTION,END,Inspect What Was Taken Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_344,EVENT_RESOLVED,-
347,RESPONSE,RESOLUTION,Secure What Remains,You stop searching temporarily and secure the remaining cargo before anything else can disappear.,CARGO_MISSING,VAR_OUTCOME_347,-
348,RESOLUTION,END,Your Preparation Pays Off,"Being prepared lets you deal with the situation without being caught off guard, and the immediate danger passes.",VAR_OUTCOME_347,EVENT_RESOLVED,-
349,RESOLUTION,END,The Threat Never Develops,"You remain prepared for trouble, but the situation never escalates and the night gradually becomes quiet again.",VAR_OUTCOME_347,EVENT_RESOLVED,-
350,RESPONSE,RESOLUTION,Look for Tracks Around the Cargo,You inspect the ground around the missing goods for footprints or drag marks.,CARGO_MISSING,VAR_OUTCOME_350,-
351,RESOLUTION,END,Look for Tracks Around the Cargo Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_350,EVENT_RESOLVED,-
352,RESOLUTION,END,Look for Tracks Around the Cargo Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_350,EVENT_RESOLVED,-
353,RESPONSE,RESOLUTION,Return to Rest,"With no sign of an intruder, you secure the loose equipment and prepare to rest again.",NO_THREAT_FOUND,VAR_OUTCOME_353,-
354,RESOLUTION,END,You Return Safely to Camp,You avoid pushing the situation farther and return safely to the fire without another disturbance.,VAR_OUTCOME_353,EVENT_RESOLVED,-
355,RESOLUTION,END,The Disturbance Follows No Further,"Whatever caused the situation does not follow you back, and the rest of the camp remains undisturbed.",VAR_OUTCOME_353,EVENT_RESOLVED,-
356,RESPONSE,RESOLUTION,Protect the Embers and Wait,You shield the remaining heat and wait for the wind to weaken before rebuilding the fire.,EMBERS_USABLE,VAR_OUTCOME_356,-
357,RESOLUTION,END,The Situation Reveals Itself,Your patience pays off when the situation changes enough for you to understand what was happening near the camp.,VAR_OUTCOME_356,EVENT_RESOLVED,-
358,RESOLUTION,END,Nothing Else Happens,"You wait for several tense minutes, but nothing else happens and the campsite eventually becomes quiet again.",VAR_OUTCOME_356,EVENT_RESOLVED,-
359,RESPONSE,RESOLUTION,Use the Embers Only for Light,You decide not to rebuild a full fire and keep only enough flame to maintain visibility.,EMBERS_USABLE,VAR_OUTCOME_359,-
360,RESOLUTION,END,The Repair Holds,Your quick work stabilizes the problem and prevents it from becoming worse during the rest of the night.,VAR_OUTCOME_359,EVENT_RESOLVED,-
361,RESOLUTION,END,The Repair Is Only Temporary,"You stop the immediate problem, but the damage remains something that will need proper attention later.",VAR_OUTCOME_359,EVENT_RESOLVED,-
362,RESPONSE,RESOLUTION,Search for Dry Kindling,"You search beneath the cart, shelter, and nearby cover for anything dry enough to burn.",FIREWOOD_WET,VAR_OUTCOME_362,-
363,RESOLUTION,END,Search for Dry Kindling Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_362,EVENT_RESOLVED,-
364,RESOLUTION,END,Search for Dry Kindling Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_362,EVENT_RESOLVED,-
365,RESPONSE,RESOLUTION,Reinforce the Shelter Instead of Replacing the Rope,You brace the damaged section with available materials rather than relying on the broken rope.,SHELTER_DAMAGED,VAR_OUTCOME_365,-
366,RESOLUTION,END,The Repair Holds,Your quick work stabilizes the problem and prevents it from becoming worse during the rest of the night.,VAR_OUTCOME_365,EVENT_RESOLVED,-
367,RESOLUTION,END,The Repair Is Only Temporary,"You stop the immediate problem, but the damage remains something that will need proper attention later.",VAR_OUTCOME_365,EVENT_RESOLVED,-
368,RESPONSE,RESOLUTION,Move the Most Valuable Goods Under Shelter,You prioritize the most valuable cargo and move it into the driest part of the camp.,CARGO_WET_RISK,VAR_OUTCOME_368,-
369,RESOLUTION,END,The Repair Holds,Your quick work stabilizes the problem and prevents it from becoming worse during the rest of the night.,VAR_OUTCOME_368,EVENT_RESOLVED,-
370,RESOLUTION,END,The Repair Is Only Temporary,"You stop the immediate problem, but the damage remains something that will need proper attention later.",VAR_OUTCOME_368,EVENT_RESOLVED,-
371,RESPONSE,RESOLUTION,Inspect the Shelter One More Time,You check the reinforced shelter carefully before trusting it for the rest of the storm.,SHELTER_STABLE,VAR_OUTCOME_371,-
372,RESOLUTION,END,Inspect the Shelter One More Time Reveals a Useful Clue,Your careful inspection reveals enough information to make sense of the immediate situation before you return to camp.,VAR_OUTCOME_371,EVENT_RESOLVED,-
373,RESOLUTION,END,Inspect the Shelter One More Time Remains Inconclusive,"You inspect the situation carefully but find nothing decisive. With no further sign of danger, you eventually return to camp.",VAR_OUTCOME_371,EVENT_RESOLVED,-
374,RESOLUTION,END,The Person Reacts Unexpectedly,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",TRAVELLER_INVITED,EVENT_RESOLVED,-
375,RESOLUTION,END,The Person Reacts Unexpectedly 2,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",TRAVELLER_SENT_AWAY,EVENT_RESOLVED,-
376,RESOLUTION,END,The Person Reacts Unexpectedly 3,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",MERCHANT_DIRECTED,EVENT_RESOLVED,-
377,RESOLUTION,END,The Person Reacts Unexpectedly 4,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",STRANGER_WARNED,EVENT_RESOLVED,-
378,RESOLUTION,END,The Person Reacts Unexpectedly 5,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",STRANGERS_OBSERVED,EVENT_RESOLVED,-
379,RESOLUTION,END,Alternative Outcome: Search the Abandoned Belongings,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",BELONGINGS_SEARCHED,EVENT_RESOLVED,-
380,RESOLUTION,END,The Person Reacts Unexpectedly 6,"The person reacts differently than expected, but the encounter still ends without leaving the immediate situation unresolved.",NAME_MYSTERY_CHALLENGED,EVENT_RESOLVED,-
381,RESOLUTION,END,Alternative Outcome: Follow the Returned Light Signal,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",LIGHT_SIGNAL_FOLLOWED,EVENT_RESOLVED,-
382,RESOLUTION,END,Alternative Outcome: Search Beyond the Extinguished Lantern,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",LANTERN_TRAIL_SEARCHED,EVENT_RESOLVED,-
383,RESOLUTION,END,Alternative Outcome: Follow Where the Light Vanished,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",VANISHED_LIGHT_FOLLOWED,EVENT_RESOLVED,-
384,RESOLUTION,END,The Thief Gets Away,"Despite your response, the thief finds an opening and escapes into the darkness before the encounter can develop further.",THIEF_ALLOWED_ESCAPE,EVENT_RESOLVED,-
385,RESOLUTION,END,Some Cargo Still Needs Attention,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_REPAIRED,EVENT_RESOLVED,-
386,RESOLUTION,END,Some Cargo Still Needs Attention 2,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_FULLY_SECURED,EVENT_RESOLVED,-
387,RESOLUTION,END,Some Cargo Still Needs Attention 3,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_WATCHER_CONFRONTED,EVENT_RESOLVED,-
388,RESOLUTION,END,The Animal Reacts Unexpectedly,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_OBSERVED,EVENT_RESOLVED,-
389,RESOLUTION,END,Alternative Outcome: Offer Food Away from Camp,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",ANIMAL_FED,EVENT_RESOLVED,-
390,RESOLUTION,END,The Animal Reacts Unexpectedly 2,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_AVOIDED,EVENT_RESOLVED,-
391,RESOLUTION,END,The Animal Reacts Unexpectedly 3,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_CARGO_DEFENDED,EVENT_RESOLVED,-
392,RESOLUTION,END,The Animal Reacts Unexpectedly 4,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",INJURED_ANIMAL_LEFT,EVENT_RESOLVED,-
393,RESOLUTION,END,The Animal Reacts Unexpectedly 5,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_HELD_BY_FIRE,EVENT_RESOLVED,-
394,RESOLUTION,END,The Animal Reacts Unexpectedly 6,"The animal reacts differently than expected, forcing you to adjust before it finally leaves the immediate area.",ANIMAL_RETREAT_CONFIRMED,EVENT_RESOLVED,-
395,RESOLUTION,END,The Fire Remains Weak,"Your attempt helps, but the fire never fully recovers and you continue the night with only limited warmth and light.",FIRE_RESTORED,EVENT_RESOLVED,-
396,RESOLUTION,END,Alternative Outcome: Use Reserved Dry Fuel,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",FIRE_RESTORED,EVENT_RESOLVED,-
397,RESOLUTION,END,The Fire Remains Weak 2,"Your attempt helps, but the fire never fully recovers and you continue the night with only limited warmth and light.",FIRE_ABANDONED,EVENT_RESOLVED,-
398,RESOLUTION,END,The Repair Barely Holds,"The repair survives the immediate problem, but only just, leaving the camp less comfortable for the rest of the night.",SHELTER_REPAIRED,EVENT_RESOLVED,-
399,RESOLUTION,END,Some Cargo Still Needs Attention 4,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_RAIN_SECURED,EVENT_RESOLVED,-
400,RESOLUTION,END,Alternative Outcome: Move the Camp to Higher Ground,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",CAMP_MOVED_HIGHER,EVENT_RESOLVED,-
401,RESOLUTION,END,The Weather Causes Further Trouble,"Your response prevents the worst outcome, but the weather still causes additional difficulty before the situation settles.",CAMP_ABANDONED,EVENT_RESOLVED,-
402,RESOLUTION,END,The Weather Causes Further Trouble 2,"Your response prevents the worst outcome, but the weather still causes additional difficulty before the situation settles.",STORM_WAITED_OUT,EVENT_RESOLVED,-
403,RESOLUTION,END,Some Cargo Still Needs Attention 5,"You stop the immediate problem, but not everything can be fully secured or recovered before you return to rest.",CARGO_COVER_REPAIRED,EVENT_RESOLVED,-
404,RESOLUTION,END,The Repair Barely Holds 2,"The repair survives the immediate problem, but only just, leaving the camp less comfortable for the rest of the night.",SHELTER_TRUSTED,EVENT_RESOLVED,-
405,RESOLUTION,END,Alternative Outcome: Return to Rest After Finding Nothing,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",MYSTERY_ABANDONED,EVENT_RESOLVED,-
406,RESOLUTION,END,Nothing More Is Revealed,"You wait and observe, but the situation gives you no further answer before the night becomes quiet again.",MYSTERY_WAITED,EVENT_RESOLVED,-
407,RESOLUTION,END,Alternative Outcome: Respect the Warning,"The situation develops differently than expected, but the immediate encounter still reaches a clear conclusion.",WARNING_RESPECTED,EVENT_RESOLVED,-
408,REVEAL,RESPONSE,The Whispering Continues,"You remain beside the fire as the quiet voices continue somewhere beyond the light. After a moment, it becomes clear that more than one person is speaking.","WAITING_AT_FIRE, WHISPERS_HEARD","HUMAN_CONFIRMED, MULTIPLE_PEOPLE",UNKNOWN_SOURCE
409,REVEAL,RESPONSE,The Voices Suddenly Stop,"You wait beside the fire, but the whispering abruptly stops. No one approaches, and the darkness around the camp becomes quiet again.","WAITING_AT_FIRE, WHISPERS_HEARD","NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE
410,REVEAL,RESPONSE,A Figure Moves Closer to the Firelight,"After several tense moments, a lone figure moves closer to the camp but stops just beyond the edge of the firelight.","WAITING_AT_FIRE, HUMAN_POSSIBLE","HUMAN_CONFIRMED, PERSON_NEARBY",UNKNOWN_SOURCE
411,REVEAL,RESPONSE,Movement Circles Beyond the Firelight,"You stay beside the fire and wait. After a while, faint movement circles beyond the light without coming any closer.","WAITING_AT_FIRE, MOVEMENT_HEARD","NO_SOURCE_FOUND, SOURCE_FLED_POSSIBLE",UNKNOWN_SOURCE
412,REVEAL,RESPONSE,Another Cry Comes from the Darkness,"You remain beside the fire until another distant cry carries through the night, confirming that someone or something is still out there.","WAITING_AT_FIRE, VOICE_HEARD","DISTRESS_CONFIRMED, VOICE_LOCATED",UNKNOWN_SOURCE
413,REVEAL,RESPONSE,The Fire Sinks to Embers,You stay beside the fire and watch the weak flames sink lower until only a bed of glowing embers remains.,"WAITING_AT_FIRE, FIRE_LOW",EMBERS_USABLE,-
414,REVEAL,RESPONSE,The Strange Light Reappears,"You remain beside the fire, and after a tense wait the distant light appears again between the trees.","WAITING_AT_FIRE, LIGHT_SEEN",LIGHT_SIGNAL_RETURNED,UNKNOWN_SOURCE
415,REVEAL,RESPONSE,An Animal Lingers Beyond the Camp,"You stay beside the fire until a shape moves at the edge of the darkness, revealing that an animal has remained nearby.","WAITING_AT_FIRE, ANIMAL_SOUND","ANIMAL_CONFIRMED, ANIMAL_WATCHING",UNKNOWN_SOURCE
416,REVEAL,RESPONSE,Nothing Comes Closer to the Fire,"You remain beside the fire and wait, but whatever disturbed the night never comes close enough to reveal itself.",WAITING_AT_FIRE,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE
417,REVEAL,RESPONSE,The Torch Reveals No Clear Source,"The torchlight reaches across the nearby ground, but nothing obvious remains within sight.",TORCH_LIT,NO_SOURCE_FOUND,UNKNOWN_SOURCE
418,REVEAL,RESPONSE,No Second Cry Comes,"You listen carefully for another call, but the night stays silent and gives you no clearer direction.",LISTENING_FOR_VOICE,"NO_SOURCE_FOUND, SILENCE",-
419,REVEAL,RESPONSE,The Footsteps Do Not Return,"You wait for the footsteps to begin again, but the area around the camp becomes completely still.",LISTENING_FOR_FOOTSTEPS,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE
420,REVEAL,RESPONSE,No Signal Answers Your Torch,"You hold the torch high and wait, but no light answers from the darkness.",SIGNALLED_LIGHT,"NO_SOURCE_FOUND, SILENCE",-
421,REVEAL,RESPONSE,The Distant Light Fades Away,You watch from the safety of the camp until the distant light slowly disappears between the trees.,OBSERVING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",UNKNOWN_SOURCE
422,REVEAL,RESPONSE,Nothing Approaches the Guarded Cargo,"You keep watch over the supplies, but no one comes close enough to threaten the cargo again.",CARGO_GUARDED,"NO_SOURCE_FOUND, SILENCE",UNKNOWN_SOURCE
423,REVEAL,RESPONSE,A Lone Animal Moves Near the Camp,A single shape moves through the darkness near the camp before hesitating at the edge of the firelight.,ANIMAL_LISTENING,"ANIMAL_CONFIRMED, ANIMAL_WATCHING",UNKNOWN_SOURCE
424,REVEAL,RESPONSE,The Animal Holds Its Ground,"The noise makes the animal pause, but instead of fleeing it remains just beyond the firelight.",ANIMAL_SCARE_ATTEMPT,"ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE
425,REVEAL,RESPONSE,A Larger Animal Finds the Bait,"Movement approaches the food, but the shape that emerges is larger than you expected.",ANIMAL_BAIT_SET,"ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE
426,REVEAL,RESPONSE,The Remaining Fuel Is Soaked,"You protect the last heat from the wind, but most of the nearby fuel has already become too wet to burn easily.",FIRE_PROTECTED,FIREWOOD_WET,-
427,REVEAL,RESPONSE,Some Protected Fuel Remains,"Most of the exposed wood is damp, but you find a small amount of protected fuel that may still be usable.",FIRE_REBUILD_ATTEMPT,FIREWOOD_WET,-
428,REVEAL,RESPONSE,Water Begins Gathering Around the Shelter,"While securing the shelter, you notice water collecting around the campsite faster than expected.",SHELTER_SECURE_ATTEMPT,FLOODING_RISK,-
429,REVEAL,RESPONSE,Rain Starts Reaching the Covered Goods,"Despite your precautions, water begins working through the cargo protection and threatens the exposed goods.",CARGO_RAIN_PROTECTION,"CARGO_WET_RISK, CARGO_COVER_TORN",-
430,RESOLUTION,END,The Animal Retreats After a Standoff,"The animal resists for a moment, then finally backs away and disappears beyond the edge of the camp.",ANIMAL_SCARED,EVENT_RESOLVED,-
